U[V], I[uA]
0.14, 0.2
0.15, 0.2
0.17, 0.2
0.17, 0.3
0.36, 0.3
0.36, 0.5
0.35, 0.5
0.36, 0.5
0.34, 0.5
0.34, 0.2
0.15, 0.2
0.18, 0.2
0.16, 0.2
0.16, 0.3
0.03, 0.3
0.04, 0.3
0.04, 0.4
0.04, 0.3
0.03, 0.3
0.03, 0.4
0.04, 0.4
0.05, 0.4
0.06, 0.4
0.06, 5.8
1.84, 5.8
1.84, 23.5
2.4, 23.5
2.4, 22.7
2.38, 22.7
2.38, 22.5
2.37, 22.5
2.33, 22.5
2.33, 22.0
2.34, 22.0
2.34, 22.1
2.34, 22.0
2.34, 22.1
2.41, 22.1
2.41, 26.8
2.81, 26.8
2.81, 27.4
2.91, 27.4
2.91, 28.5
2.97, 28.5
2.97, 29.5
3.07, 29.5
3.07, 30.0
3.13, 30.0
3.13, 30.2
3.13, 30.1
3.31, 30.1
3.31, 33.3
3.52, 33.3
3.52, 36.1
3.68, 36.1
3.68, 35.8
3.8, 35.8
3.8, 39.1
3.95, 39.1
3.95, 39.0
4.07, 39.0
4.07, 40.8
4.11, 40.8
4.11, 40.9
4.11, 40.6
4.09, 40.6
4.09, 40.7
4.11, 40.7
4.11, 41.0
4.12, 41.0
4.19, 41.0
4.19, 42.4
4.25, 42.4
4.25, 42.6
4.44, 42.6
4.44, 44.9
4.42, 44.9
4.42, 44.8
4.42, 44.6
4.41, 44.6
4.41, 47.6
4.64, 47.6
4.64, 47.4
4.63, 47.4
4.63, 47.3
4.61, 47.3
4.61, 48.4
4.8, 48.4
4.8, 49.7
4.79, 49.7
4.79, 49.5
4.79, 49.4
4.79, 49.3
4.77, 49.3
4.92, 49.3
4.92, 53.3
5.07, 53.3
5.07, 53.4
5.07, 53.5
5.08, 53.5
5.08, 53.2
5.04, 53.2
5.04, 52.9
5.3, 52.9
5.3, 57.1
5.35, 57.1
5.35, 57.4
5.35, 57.3
5.34, 57.3
5.34, 57.1
5.48, 57.1
5.48, 59.3
5.48, 59.4
5.48, 59.3
5.54, 59.3
5.54, 60.2
5.68, 60.2
5.68, 62.5
5.69, 62.5
5.7, 62.5
5.7, 62.7
6.0, 62.7
6.0, 67.1
6.0, 67.0
6.0, 67.1
6.0, 68.9
6.0, 66.9
6.0, 68.9
6.0, 67.4
6.22, 67.4
6.22, 70.4
6.22, 70.2
6.21, 70.2
6.21, 70.4
6.44, 70.4
6.44, 73.7
6.43, 73.7
6.43, 73.5
6.43, 78.8
6.43, 76.8
6.76, 76.8
6.76, 76.6
6.76, 78.6
6.76, 78.7
6.77, 78.7
6.77, 78.6
6.77, 78.1
6.77, 79.1
6.79, 79.1
6.79, 87.3
7.36, 87.3
7.36, 87.9
7.36, 87.8
7.37, 87.8
7.37, 87.9
7.38, 87.9
7.37, 87.9
7.37, 87.8
7.37, 88.0
7.39, 88.0
7.39, 88.8
7.39, 87.9
7.45, 87.9
7.45, 89.5
7.49, 89.5
7.49, 89.6
7.49, 89.5
7.48, 89.5
7.49, 89.5
7.49, 90.9
7.64, 90.9
7.64, 91.9
7.65, 91.9
7.65, 92.0
7.66, 92.0
7.66, 93.1
7.61, 93.1
7.71, 93.1
7.71, 93.0
7.72, 93.0
7.72, 93.1
7.72, 93.2
7.74, 93.2
7.74, 93.3
7.74, 93.4
7.74, 93.9
7.74, 93.7
7.84, 93.7
7.84, 94.7
7.84, 94.8
7.84, 94.9
7.84, 96.6
8.02, 96.6
8.02, 97.9
8.04, 97.9
8.04, 97.8
8.03, 97.8
8.03, 98.0
8.02, 98.0
8.12, 98.0
8.12, 99.4
8.15, 99.4
8.15, 99.5
8.16, 99.5
8.16, 99.4
8.16, 99.5
8.16, 99.4
8.19, 99.4
8.19, 102.4
8.18, 102.4
8.42, 102.4
8.42, 105.7
8.48, 105.7
8.59, 105.7
8.59, 105.8
8.59, 105.7
8.59, 105.8
8.58, 105.8
8.6, 105.8
8.6, 105.7
8.6, 105.8
8.6, 105.9
8.6, 106.0
8.61, 106.0
8.61, 106.1
8.61, 106.5
8.64, 106.5
8.64, 106.6
8.65, 106.6
8.67, 106.6
8.67, 108.2
8.68, 108.2
8.76, 108.2
8.76, 108.3
8.77, 108.3
8.77, 108.4
8.78, 108.4
8.76, 108.4
8.76, 108.3
8.78, 108.3
8.77, 108.3
8.77, 108.2
8.77, 108.3
8.78, 108.3
8.78, 111.1
8.99, 111.1
8.99, 111.4
8.99, 111.3
8.99, 111.4
9.0, 111.4
9.0, 111.9
9.06, 111.9
9.06, 112.4
9.07, 112.4
9.07, 112.5
9.07, 112.6
9.08, 112.6
9.08, 112.9
9.19, 112.9
9.19, 115.8
9.41, 115.8
9.41, 117.8
9.44, 117.8
9.44, 117.9
9.44, 117.8
9.45, 117.8
9.44, 117.8
9.44, 117.9
9.44, 118.8
9.49, 118.8
9.49, 119.3
9.74, 119.3
9.74, 122.4
9.77, 122.4
9.77, 122.5
9.77, 122.4
9.77, 122.3
9.77, 122.0
9.78, 122.0
9.78, 122.1
9.78, 122.3
9.78, 122.5
9.79, 122.5
9.79, 122.7
9.81, 122.7
9.81, 122.8
9.81, 122.7
9.81, 122.9
9.82, 122.9
9.82, 125.3
10.24, 125.3
10.24, 128.8
10.27, 128.8
10.27, 129.1
10.28, 129.1
10.28, 128.9
10.28, 130.8
10.7, 130.8
10.7, 134.6
10.7, 134.5
10.71, 134.5
10.71, 134.4
10.72, 134.4
10.71, 134.4
10.71, 134.2
10.73, 134.2
10.73, 135.9
10.92, 135.9
10.92, 137.2
10.97, 137.2
10.97, 137.4
10.98, 137.4
10.98, 137.8
10.99, 137.8
10.99, 137.9
11.01, 137.9
11.01, 138.8
11.01, 138.0
11.02, 138.0
11.02, 138.1
11.02, 139.4
11.39, 139.4
11.39, 142.9
11.39, 142.7
11.39, 142.8
11.39, 143.0
11.4, 143.0
11.4, 143.2
11.41, 143.2
11.41, 145.3
11.63, 145.3
11.63, 146.4
11.64, 146.4
11.64, 143.9
11.51, 143.9
11.51, 145.3
11.55, 145.3
11.55, 145.6
11.57, 145.6
11.57, 145.7
11.57, 145.5
11.56, 145.5
11.56, 145.7
11.57, 145.7
11.57, 146.1
11.69, 146.1
11.69, 147.4
11.71, 147.4
11.71, 147.7
11.72, 147.7
11.72, 147.0
11.68, 147.0
11.68, 146.7
11.66, 146.7
11.66, 146.8
11.67, 146.8
11.68, 146.8
11.68, 147.0
11.69, 147.0
11.69, 147.8
11.9, 147.8
11.9, 149.8
11.9, 149.9
11.91, 149.9
11.91, 149.4
11.94, 149.4
11.94, 158.2
11.94, 150.2
11.94, 150.3
11.94, 150.4
11.94, 150.3
11.94, 150.4
11.95, 150.4
11.95, 150.6
12.1, 150.6
12.1, 152.5
12.11, 152.5
12.11, 152.4
12.08, 152.4
12.08, 152.9
12.1, 152.9
12.11, 152.9
12.11, 152.2
12.0, 152.2
12.0, 150.3
11.95, 150.3
11.95, 151.4
11.98, 151.4
11.98, 155.7
12.47, 155.7
12.47, 157.3
12.45, 157.3
12.45, 157.2
12.45, 157.1
12.44, 157.1
12.43, 157.1
12.43, 156.9
12.42, 156.9
12.42, 157.5
12.48, 157.5
12.48, 157.6
12.49, 157.6
12.48, 157.6
12.48, 157.5
12.49, 157.5
12.49, 157.4
12.49, 157.5
12.49, 157.7
12.48, 157.7
12.48, 164.0
12.98, 164.0
12.98, 163.7
12.97, 163.7
12.97, 163.6
12.97, 163.5
12.96, 163.5
12.96, 163.4
13.16, 163.4
13.16, 165.1
13.11, 165.1
13.11, 165.3
13.13, 165.3
13.13, 165.6
13.12, 165.6
13.12, 165.7
13.14, 165.7
13.14, 169.5
13.42, 169.5
13.42, 169.6
13.43, 169.6
13.43, 169.7
13.43, 169.6
13.43, 169.7
13.63, 169.7
13.63, 173.5
13.78, 173.5
13.78, 173.7
13.8, 173.7
13.8, 173.5
13.79, 173.5
13.79, 173.4
13.79, 173.1
13.8, 173.1
13.8, 173.3
13.81, 173.3
13.8, 173.3
13.8, 173.4
13.79, 173.4
13.79, 173.5
13.79, 177.5
14.18, 177.5
14.18, 177.8
14.18, 177.6
14.18, 177.5
14.18, 177.6
14.18, 177.9
14.18, 177.7
14.17, 177.7
14.18, 177.7
14.18, 178.2
14.49, 178.2
14.49, 184.5
14.74, 184.5
14.74, 184.6
14.76, 184.6
14.76, 184.8
14.76, 184.9
14.77, 184.9
14.77, 185.1
14.79, 185.1
14.79, 185.3
14.8, 185.3
14.8, 185.2
14.78, 185.2
14.78, 198.4
14.78, 190.4
15.3, 190.4
15.3, 190.8
15.31, 190.8
15.31, 191.1
15.35, 191.1
15.35, 191.2
15.34, 191.2
15.34, 191.3
15.35, 191.3
15.35, 191.4
15.35, 191.2
15.59, 191.2
15.59, 194.6
15.65, 194.6
15.65, 194.8
15.67, 194.8
15.67, 195.0
15.68, 195.0
15.68, 195.1
15.69, 195.1
15.69, 195.0
15.69, 195.2
15.69, 195.4
15.87, 195.4
15.87, 198.9
15.0, 198.9
16.0, 198.9
16.0, 199.2
16.02, 199.2
16.02, 199.3
16.03, 199.3
16.03, 199.4
16.03, 199.5
16.04, 199.5
16.04, 199.7
16.04, 199.8
16.04, 281.6
16.04, 201.6
16.24, 201.6
16.24, 201.8
16.25, 201.8
16.25, 202.0
16.25, 202.1
16.26, 202.1
16.26, 202.0
16.25, 202.0
16.25, 201.7
16.26, 201.7
16.26, 201.6
16.26, 201.7
16.27, 201.7
16.26, 201.7
16.26, 202.1
16.89, 202.1
16.47, 202.1
16.47, 204.4
16.54, 204.4
16.54, 204.6
16.54, 204.9
16.56, 204.9
16.58, 204.9
16.57, 204.9
16.57, 205.2
16.58, 205.2
16.58, 205.3
16.58, 205.2
16.58, 205.3
16.68, 205.3
16.68, 208.5
16.88, 208.5
16.93, 208.5
16.93, 208.8
16.93, 209.4
16.94, 209.4
16.94, 209.6
16.94, 209.7
16.94, 209.6
16.94, 209.7
16.94, 209.8
17.04, 209.8
17.04, 213.9
17.38, 213.9
17.38, 214.3
17.39, 214.3
17.39, 214.6
17.4, 214.6
17.4, 214.7
17.41, 214.7
17.41, 214.6
17.4, 214.6
17.4, 214.5
17.41, 214.5
17.41, 214.3
17.43, 214.3
17.43, 214.4
17.39, 214.4
17.39, 214.0
17.55, 214.0
17.55, 215.8
17.58, 215.8
17.58, 216.0
17.59, 216.0
17.59, 216.1
17.6, 216.1
17.6, 216.2
17.48, 216.2
17.48, 209.9
16.95, 209.9
16.95, 210.0
16.94, 210.0
16.94, 209.8
16.99, 209.8
16.99, 211.2
17.29, 211.2
17.29, 213.4
17.3, 213.4
17.3, 213.7
17.31, 213.7
17.31, 213.8
17.32, 213.8
17.32, 217.4
17.69, 217.4
17.69, 217.7
17.69, 222.5
18.22, 222.5
18.22, 222.6
18.22, 222.7
18.22, 222.9
18.22, 223.1
18.22, 223.2
18.22, 223.1
18.22, 223.2
18.22, 224.3
19.78, 224.3
19.78, 230.2
19.82, 230.2
19.82, 229.9
19.83, 229.9
19.83, 229.4
18.84, 229.4
18.84, 226.3
18.68, 226.3
18.68, 226.1
18.66, 226.1
18.67, 226.1
18.67, 226.3
18.91, 226.3
18.91, 228.7
19.09, 228.7
19.09, 228.8
19.16, 228.8
19.16, 229.0
19.18, 229.0
19.19, 229.0
19.17, 229.0
19.17, 229.2
19.56, 229.2
19.56, 230.8
19.67, 230.8
19.67, 230.9
19.68, 230.9
19.68, 231.1
19.68, 231.0
19.68, 231.1
19.68, 231.0
19.68, 231.1
19.67, 231.1
19.67, 231.2
19.68, 231.2
19.68, 231.3
19.86, 231.3
19.92, 231.3
19.92, 231.4
19.92, 230.8
19.91, 230.8
19.91, 230.5
19.91, 230.8
19.93, 230.8
19.93, 231.0
19.94, 231.0
19.94, 231.1
20.09, 231.1
20.09, 230.2
20.56, 230.2
20.56, 230.3
20.57, 230.3
20.6, 230.3
20.65, 230.3
20.65, 229.6
20.82, 229.6
20.82, 229.7
20.83, 229.7
20.81, 229.7
20.81, 238.3
20.81, 230.3
20.78, 230.3
20.78, 230.4
20.78, 230.6
20.79, 230.6
20.79, 230.2
21.06, 230.2
21.06, 229.1
21.18, 229.1
21.18, 229.0
21.18, 229.3
21.19, 229.3
21.19, 229.4
21.2, 229.4
21.2, 229.5
21.2, 229.4
21.19, 229.4
21.18, 229.4
