U[V], I[uA]
0.06, 8.6
0.06, 0.6
0.06, 8.6
0.06, 8.7
0.06, 8.6
0.06, 0.6
0.06, 0.7
0.04, 0.7
0.04, 2.9
2.25, 2.9
2.25, 9.0
2.25, 8.9
2.24, 8.9
2.25, 8.9
2.25, 9.1
2.58, 9.1
2.58, 13.6
2.67, 13.6
2.67, 13.7
2.68, 13.7
2.68, 14.0
2.84, 14.0
2.84, 15.6
2.84, 15.5
2.83, 15.5
2.83, 17.4
3.31, 17.4
3.31, 25.0
3.72, 25.0
3.72, 26.6
4.32, 26.6
4.32, 31.1
4.33, 31.1
4.34, 31.1
4.34, 31.2
4.36, 31.2
4.36, 37.3
4.86, 37.3
4.86, 37.1
4.85, 37.1
4.85, 37.0
4.85, 36.8
4.84, 36.8
4.83, 36.8
4.84, 36.8
4.84, 45.7
5.51, 45.7
5.51, 45.6
5.51, 45.5
5.52, 45.6
5.52, 49.0
5.79, 49.0
5.79, 49.5
5.79, 49.4
5.79, 49.8
6.73, 49.8
6.73, 58.2
6.37, 58.2
6.37, 59.3
6.94, 59.3
6.44, 59.3
6.94, 59.3
6.94, 59.1
6.44, 59.1
6.94, 59.1
6.94, 58.9
6.92, 58.9
6.92, 58.6
6.9, 58.6
6.4, 58.6
6.9, 52.1
6.4, 62.1
6.65, 62.1
6.65, 62.4
6.65, 76.4
7.57, 76.4
7.56, 76.1
7.56, 75.9
7.55, 75.9
7.55, 75.7
7.54, 75.7
7.54, 75.9
7.54, 78.9
7.58, 78.9
7.88, 78.9
7.88, 82.0
7.84, 82.0
8.74, 82.0
8.74, 85.0
8.78, 85.0
8.78, 84.8
8.77, 84.8
8.77, 93.5
8.89, 93.5
8.89, 95.4
8.93, 95.4
8.93, 95.3
8.93, 97.0
9.21, 97.0
9.21, 102.6
9.97, 102.6
9.47, 102.6
9.97, 102.6
9.97, 102.5
9.47, 102.5
9.97, 102.5
9.47, 102.5
9.97, 105.2
9.98, 105.2
9.98, 109.5
21.4, 212.5
21.4, 212.7
21.4, 212.8
22.92, 200.3
22.92, 200.2
22.92, 194.3
23.24, 194.3
25.31, 118.3
25.74, 121.5
25.74, 121.8
29.71, 192.8
29.71, 192.9
29.72, 192.9
29.72, 192.8
42.55, 280.3
42.55, 280.4
45.42, 269.5
60.24, 284.9
60.24, 285.0
80.24, 285.0
60.24, 285.0
60.24, 285.1
60.35, 285.7
60.35, 285.8
60.35, 286.1
60.37, 286.1
60.37, 286.4
80.37, 286.4
60.37, 286.4
60.37, 286.2
60.37, 286.3
60.8, 288.8
60.8, 288.9
60.8, 289.6
61.35, 289.6
61.42, 292.9
61.42, 293.1
61.42, 292.7
61.41, 292.7
61.42, 293.6
61.57, 293.6
61.57, 293.7
61.57, 293.8
61.57, 293.9
61.58, 293.9
81.58, 293.9
81.58, 294.0
81.58, 295.0
81.58, 295.7
81.83, 295.7
61.83, 295.7
61.83, 295.8
62.21, 298.4
82.21, 298.7
62.21, 298.7
62.22, 298.7
62.22, 298.8
62.23, 298.8
62.23, 298.9
62.25, 299.6
62.25, 299.5
62.24, 299.5
62.25, 299.5
62.25, 389.5
62.25, 302.6
62.78, 302.6
62.99, 305.0
62.99, 305.3
63.0, 305.3
63.0, 305.2
62.99, 305.2
83.0, 305.3
63.32, 307.9
83.32, 307.9
83.32, 306.8
83.29, 306.8
83.29, 306.9
63.3, 307.0
63.3, 307.2
63.29, 307.2
83.29, 308.6
83.47, 308.6
63.47, 308.5
63.47, 308.6
63.47, 308.7
63.49, 308.7
63.49, 312.3
63.97, 312.3
63.97, 312.8
63.98, 312.8
63.98, 312.7
63.98, 312.9
63.99, 312.9
63.99, 313.0
63.99, 312.9
63.98, 312.9
63.98, 312.8
64.05, 312.8
64.05, 314.4
84.15, 314.4
64.17, 315.0
64.17, 315.1
64.18, 315.2
64.18, 315.1
64.17, 315.1
64.43, 317.2
64.43, 317.4
64.44, 317.4
64.44, 317.3
64.44, 317.2
64.44, 317.9
64.46, 317.9
64.45, 317.7
64.45, 317.3
64.41, 317.3
64.41, 318.7
64.65, 318.7
64.65, 318.9
64.66, 318.9
84.66, 318.9
84.66, 319.0
84.67, 319.0
64.67, 319.0
64.67, 318.9
64.66, 318.9
84.67, 318.9
84.67, 319.1
64.67, 319.1
64.94, 318.9
65.08, 322.9
85.08, 322.9
65.08, 322.8
85.08, 322.8
55.08, 322.8
55.08, 322.7
65.08, 322.7
85.08, 322.7
85.08, 322.6
85.07, 322.6
85.07, 322.3
85.06, 322.3
85.07, 322.3
85.07, 323.0
85.12, 323.0
85.12, 324.1
85.22, 324.1
85.22, 324.4
65.22, 324.4
65.23, 324.4
65.23, 324.3
85.23, 324.3
65.23, 324.3
85.23, 324.3
65.23, 324.3
65.22, 324.2
65.22, 325.4
65.44, 325.4
65.44, 326.0
65.45, 326.0
65.45, 326.2
65.45, 326.1
65.45, 325.8
65.44, 325.8
65.44, 325.7
65.49, 325.7
65.49, 327.4
65.64, 327.4
65.64, 327.6
65.64, 327.5
65.64, 327.6
65.65, 327.6
65.63, 327.5
65.63, 331.5
66.12, 331.5
66.12, 331.6
66.12, 331.7
66.12, 331.5
66.12, 331.8
66.13, 331.8
66.13, 331.9
66.11, 331.7
66.53, 335.3
66.55, 335.3
66.55, 335.7
66.55, 335.5
66.55, 335.6
66.54, 335.4
66.56, 335.7
66.56, 336.0
66.61, 336.0
66.61, 338.3
66.92, 338.3
66.92, 338.4
66.91, 338.2
66.91, 338.0
86.91, 338.0
66.9, 337.7
66.9, 337.5
66.9, 337.4
66.9, 339.7
67.31, 339.7
67.33, 340.6
67.33, 340.9
67.38, 341.2
67.38, 344.3
67.78, 344.3
67.78, 344.4
67.78, 344.3
67.8, 345.2
67.8, 345.3
68.17, 345.8
88.17, 347.9
88.21, 347.9
68.21, 347.9
68.21, 347.8
68.21, 348.0
68.22, 348.0
68.21, 348.1
68.5, 351.1
68.83, 351.3
68.84, 351.4
88.84, 351.4
68.84, 351.4
68.84, 351.5
68.83, 351.5
68.83, 354.1
69.32, 354.1
69.32, 354.2
69.32, 354.1
69.32, 354.2
69.32, 354.1
69.32, 354.3
69.33, 354.3
89.33, 354.3
70.83, 369.1
70.83, 368.9
70.83, 378.1
70.83, 370.1
70.83, 369.9
70.83, 369.5
70.82, 369.5
70.82, 372.0
71.32, 372.0
71.76, 372.0
71.76, 371.3
71.75, 371.3
11.75, 371.6
11.74, 371.6
11.74, 371.7
71.74, 371.7
71.74, 371.9
71.75, 371.9
71.75, 372.2
71.74, 372.2
11.74, 372.2
71.74, 372.2
71.74, 372.4
11.74, 372.4
