ангстремы	R	G_1	G_2	B
4812.931618	-174.455217	-112.928669	-116.184393	-80.299261
4812.961965	-174.442772	-112.882601	-116.147840	-80.362797
4812.992313	-174.449522	-112.842933	-116.223257	-80.419932
4813.022661	-174.462669	-112.796870	-116.249085	-80.525049
4813.053011	-174.472616	-112.734813	-116.247721	-80.647755
4813.083361	-174.524148	-112.642371	-116.260752	-80.741665
4813.113712	-174.586873	-112.556331	-116.262586	-80.792386
4813.144064	-174.644797	-112.452702	-116.267618	-80.783929
4813.174416	-174.681926	-112.368270	-116.258257	-80.823451
4813.204769	-174.690267	-112.309431	-116.213712	-80.824589
4813.235123	-174.738587	-112.290575	-116.140383	-80.790544
4813.265478	-174.822087	-112.265324	-116.092644	-80.722917
4813.295834	-174.872001	-112.243271	-116.000132	-80.629708
4813.326190	-174.885132	-112.242009	-115.914021	-80.510917
4813.356547	-174.906258	-112.250340	-115.840706	-80.393732
4813.386905	-174.890605	-112.257072	-115.732217	-80.303736
4813.417264	-174.876552	-112.254210	-115.642921	-80.272906
4813.447624	-174.857702	-112.222567	-115.582410	-80.282052
4813.477984	-174.837255	-112.181331	-115.518705	-80.227241
4813.508345	-174.815209	-112.103324	-115.466195	-80.172433
4813.538707	-174.751595	-112.022124	-115.436070	-80.130418
4813.569069	-174.667200	-112.000082	-115.394756	-80.149159
4813.599433	-174.590803	-111.971646	-115.391813	-80.167899
4813.629797	-174.535192	-111.930422	-115.371285	-80.170651
4813.660162	-174.465196	-111.854029	-115.360350	-80.198981
4813.690527	-174.406394	-111.796824	-115.347816	-80.212922
4813.720894	-174.341201	-111.749213	-115.340079	-80.172510
4813.751261	-174.319171	-111.739969	-115.285985	-80.108123
4813.781629	-174.276362	-111.727528	-115.263863	-80.080504
4813.811998	-174.257531	-111.759845	-115.272112	-80.041697
4813.842367	-174.277063	-111.776176	-115.253188	-79.991704
4813.872738	-174.293397	-111.707792	-115.235864	-79.893761
4813.903109	-174.343296	-111.647403	-115.215343	-79.826192
4813.933481	-174.388396	-111.587017	-115.175644	-79.774609
4813.963853	-174.455870	-111.595359	-115.121563	-79.692662
4813.994227	-174.528135	-111.592513	-115.102644	-79.610719
4814.024601	-174.613181	-111.586470	-115.093316	-79.573529
4814.054976	-174.608727	-111.588419	-115.106362	-79.545930
4814.085351	-174.639432	-111.582376	-115.077857	-79.486370
4814.115728	-174.671732	-111.550766	-115.007804	-79.436401
4814.146105	-174.683257	-111.514362	-114.968116	-79.408807
4814.176483	-174.683596	-111.533889	-114.938018	-79.374822
4814.206862	-174.643986	-111.527849	-114.923901	-79.331251
4814.237242	-174.604378	-111.513819	-114.946536	-79.324434
4814.267622	-174.564771	-111.445463	-114.937213	-79.269682
4814.298003	-174.513982	-111.388295	-114.889542	-79.227715
4814.328385	-174.450414	-111.343912	-114.824299	-79.169772
4814.358768	-174.500286	-111.272370	-114.751070	-79.092660
4814.389152	-174.542168	-111.227992	-114.719385	-79.049103
4814.419536	-174.558485	-111.191604	-114.722849	-79.021524
4814.449921	-174.562020	-111.182377	-114.700752	-78.987557
4814.480307	-174.589518	-111.163565	-114.645106	-78.972761
4814.510693	-174.625002	-111.168717	-114.559111	-78.937199
4814.541081	-174.644510	-111.183453	-114.460340	-78.820167
4814.571469	-174.644847	-111.238125	-114.390328	-78.759051
4814.601858	-174.654768	-111.300780	-114.352267	-78.702730
