wavelength[A],prominence[c.u.]
4851.9494,5.6282
4859.1182,8.9606
4869.5062,25.2326
4884.6761,6.7048
4889.6778,13.7268
4897.9835,6.9146
4910.2519,23.0320
4921.8130,7.6752
4935.9974,7.8530
4938.1474,18.2192
4958.0065,5.4069
4962.7977,16.0372
4970.9845,12.8171
4975.8598,5.1888
4985.6317,5.5969
5000.8020,26.9039
5008.9881,13.6137
5026.9590,15.6935
5034.5151,5.6286
5042.7354,18.3556
5062.2924,21.5008
5074.7211,9.4013
5090.2907,17.8427
5105.9684,14.4101
5109.2259,5.8361
5136.2790,22.3640
5141.2602,54.7833
5153.3378,62.2762
5162.2873,14.8949
5179.1516,17.0103
5188.2313,17.3831
5199.3787,30.9488
5206.1188,8.7303
5216.5397,5.6048
5224.4905,10.9344
5240.3600,9.2880
5244.7579,46.0633
5258.9756,15.5362
5274.9811,25.3409
5294.5864,7.5215
5306.7011,38.7150
5319.5882,18.0443
5329.4420,5.1498
5351.9521,30.6477
5364.7425,8.8546
5379.9233,10.7925
5388.4616,24.0412
5392.9605,5.5833
5407.2978,10.9213
5413.7093,9.3177
5418.2854,15.0316
5431.2796,21.0817
5440.8453,15.6967
5449.2532,12.2269
5463.3058,20.5105
5467.5422,5.0181
5474.6623,5.7145
5489.3033,5.0748
5500.7550,7.8121
5516.4636,16.0121
5532.9514,5.2086
5562.5219,9.2939
5578.2878,20.5466
5593.5711,8.6014
5607.9774,14.6642
5616.8580,6.6680
5630.8751,5.1334
5652.5499,13.0190
5681.5150,7.7061
5705.5467,29.9161
5749.7354,6.4607
5856.4185,9.2672
5889.5057,30.8885
5896.3670,7.2711
5918.2212,7.3334
5949.2712,11.9564
5977.5112,5.6536
6021.7320,6.8388
6105.2418,6.1534
6164.4000,8.2672
6276.9538,12.8227
