voltage[V],time[ns]
0.5048825909,0.0000
0.5063517199,0.1429
0.5078103756,0.2858
0.5092585280,0.4286
0.5106961471,0.5715
0.5121232030,0.7144
0.5135396664,0.8573
0.5149455080,1.0001
0.5163406985,1.1430
0.5177252092,1.2859
0.5190990115,1.4288
0.5204620769,1.5717
0.5218143773,1.7145
0.5231558846,1.8574
0.5244865711,2.0003
0.5258064093,2.1432
0.5271153720,2.2860
0.5284134319,2.4289
0.5297005623,2.5718
0.5309767366,2.7147
0.5322419283,2.8576
0.5334961113,3.0004
0.5347392597,3.1433
0.5359713476,3.2862
0.5371923498,3.4291
0.5384022408,3.5719
0.5396009957,3.7148
0.5407885896,3.8577
0.5419649981,4.0006
0.5431301968,4.1434
0.5442841615,4.2863
0.5454268684,4.4292
0.5465582939,4.5721
0.5476784146,4.7150
0.5487872073,4.8578
0.5498846490,5.0007
0.5509707172,5.1436
0.5520453892,5.2865
0.5531086429,5.4293
0.5541604563,5.5722
0.5552008076,5.7151
0.5562296753,5.8580
0.5572470382,6.0009
0.5582528751,6.1437
0.5592471653,6.2866
0.5602298883,6.4295
0.5612010236,6.5724
0.5621605513,6.7152
0.5631084514,6.8581
0.5640447043,7.0010
0.5649692908,7.1439
0.5658821916,7.2868
0.5667833879,7.4296
0.5676728610,7.5725
0.5685505926,7.7154
0.5694165645,7.8583
0.5702707587,8.0011
0.5711131577,8.1440
0.5719437439,8.2869
0.5727625003,8.4298
0.5735694098,8.5727
0.5743644558,8.7155
0.5751476218,8.8584
0.5759188917,9.0013
0.5766782495,9.1442
0.5774256794,9.2870
0.5781611661,9.4299
0.5788846942,9.5728
0.5795962489,9.7157
0.5802958155,9.8586
0.5809833794,10.0014
0.5816589264,10.1443
0.5823224426,10.2872
0.5829739142,10.4301
0.5836133278,10.5729
0.5842406701,10.7158
0.5848559282,10.8587
0.5854590893,11.0016
0.5860501410,11.1444
0.5866290710,11.2873
0.5871958674,11.4302
0.5877505184,11.5731
0.5882930126,11.7160
0.5888233387,11.8588
0.5893414858,12.0017
0.5898474431,12.1446
0.5903412003,12.2875
0.5908227470,12.4303
0.5912920733,12.5732
0.5917491696,12.7161
0.5921940263,12.8590
0.5926266343,13.0019
0.5930469846,13.1447
0.5934550685,13.2876
0.5938508775,13.4305
0.5942344036,13.5734
0.5946056387,13.7162
0.5949645752,13.8591
0.5953112056,14.0020
0.5956455228,14.1449
0.5959675199,14.2878
0.5962771902,14.4306
0.5965745273,14.5735
0.5968595250,14.7164
0.5971321775,14.8593
0.5973924791,15.0021
0.5976404245,15.1450
0.5978760084,15.2879
0.5980992261,15.4308
0.5983100729,15.5737
0.5985085445,15.7165
0.5986946367,15.8594
0.5988683457,16.0023
0.5990296679,16.1452
0.5991786000,16.2880
0.5993151388,16.4309
0.5994392817,16.5738
0.5995510259,16.7167
0.5996503692,16.8596
0.5997373096,17.0024
0.5998118452,17.1453
0.5998739745,17.2882
0.5999236961,17.4311
0.5999610092,17.5739
0.5999859129,17.7168
0.5999984066,17.8597
0.5999984902,18.0026
0.5999861637,18.1454
0.5999614272,18.2883
0.5999242813,18.4312
0.5998747268,18.5741
0.5998127647,18.7170
0.5997383962,18.8598
0.5996516230,19.0027
0.5995524467,19.1456
0.5994408695,19.2885
0.5993168937,19.4313
0.5991805218,19.5742
0.5990317567,19.7171
0.5988706014,19.8600
0.5986970592,20.0029
0.5985111338,20.1457
0.5983128290,20.2886
0.5981021489,20.4315
0.5978790979,20.5744
0.5976436805,20.7172
0.5973959017,20.8601
0.5971357665,21.0030
0.5968632803,21.1459
0.5965784489,21.2888
0.5962812780,21.4316
0.5959717738,21.5745
0.5956499428,21.7174
0.5953157915,21.8603
0.5949693269,22.0031
0.5946105561,22.1460
0.5942394867,22.2889
0.5938561262,22.4318
0.5934604825,22.5747
0.5930525640,22.7175
0.5926323789,22.8604
0.5921999360,23.0033
0.5917552442,23.1462
0.5912983128,23.2890
0.5908291512,23.4319
0.5903477690,23.5748
0.5898541763,23.7177
0.5893483833,23.8606
0.5888304003,24.0034
0.5883002382,24.1463
0.5877579079,24.2892
0.5872034206,24.4321
0.5866367878,24.5749
0.5860580212,24.7178
0.5854671327,24.8607
0.5848641346,25.0036
0.5842490394,25.1464
0.5836218598,25.2893
0.5829826088,25.4322
0.5823312995,25.5751
0.5816679455,25.7180
0.5809925605,25.8608
0.5803051584,26.0037
0.5796057535,26.1466
0.5788943602,26.2895
0.5781709932,26.4323
0.5774356676,26.5752
0.5766883984,26.7181
0.5759292013,26.8610
0.5751580918,27.0039
0.5743750859,27.1467
0.5735801998,27.2896
0.5727734500,27.4325
0.5719548532,27.5754
0.5711244262,27.7182
0.5702821863,27.8611
0.5694281508,28.0040
0.5685623375,28.1469
0.5676847642,28.2898
0.5667954492,28.4326
0.5658944107,28.5755
0.5649816674,28.7184
0.5640572383,28.8613
0.5631211424,29.0041
0.5621733991,29.1470
0.5612140279,29.2899
0.5602430489,29.4328
0.5592604819,29.5757
0.5582663473,29.7185
0.5572606658,29.8614
0.5562434581,30.0043
0.5552147452,30.1472
0.5541745485,30.2900
0.5531228894,30.4329
0.5520597897,30.5758
0.5509852713,30.7187
0.5498993566,30.8616
0.5488020679,31.0044
0.5476934280,31.1473
0.5465734598,31.2902
0.5454421864,31.4331
0.5442996313,31.5759
0.5431458181,31.7188
0.5419807707,31.8617
0.5408045131,32.0046
0.5396170696,32.1474
0.5384184649,32.2903
0.5372087238,32.4332
0.5359878712,32.5761
0.5347559324,32.7190
0.5335129329,32.8618
0.5322588984,33.0047
0.5309938548,33.1476
0.5297178283,33.2905
0.5284308453,33.4333
0.5271329324,33.5762
0.5258241165,33.7191
0.5245044246,33.8620
0.5231738841,34.0049
0.5218325224,34.1477
0.5204803672,34.2906
0.5191174467,34.4335
0.5177437889,34.5764
0.5163594222,34.7192
0.5149643753,34.8621
0.5135586771,35.0050
0.5121423566,35.1479
0.5107154432,35.2908
0.5092779662,35.4336
0.5078299556,35.5765
0.5063714411,35.7194
0.5049024530,35.8623
0.5034230217,36.0051
0.5019331778,36.1480
0.5004329520,36.2909
0.4989223754,36.4338
0.4974014794,36.5767
0.4958702952,36.7195
0.4943288546,36.8624
0.4927771894,37.0053
0.4912153319,37.1482
0.4896433142,37.2910
0.4880611688,37.4339
0.4864689286,37.5768
0.4848666265,37.7197
0.4832542955,37.8626
0.4816319690,38.0054
0.4799996806,38.1483
0.4783574641,38.2912
0.4767053534,38.4341
0.4750433826,38.5769
0.4733715862,38.7198
0.4716899988,38.8627
0.4699986551,39.0056
0.4682975901,39.1484
0.4665868390,39.2913
0.4648664371,39.4342
0.4631364201,39.5771
0.4613968238,39.7200
0.4596476841,39.8628
0.4578890371,40.0057
0.4561209194,40.1486
0.4543433674,40.2915
0.4525564179,40.4343
0.4507601079,40.5772
0.4489544745,40.7201
0.4471395551,40.8630
0.4453153872,41.0059
0.4434820086,41.1487
0.4416394571,41.2916
0.4397877709,41.4345
0.4379269883,41.5774
0.4360571477,41.7202
0.4341782879,41.8631
0.4322904476,42.0060
0.4303936661,42.1489
0.4284879824,42.2918
0.4265734360,42.4346
0.4246500665,42.5775
0.4227179137,42.7204
0.4207770175,42.8633
0.4188274181,43.0061
0.4168691558,43.1490
0.4149022712,43.2919
0.4129268048,43.4348
0.4109427976,43.5777
0.4089502906,43.7205
0.4069493250,43.8634
0.4049399422,44.0063
0.4029221838,44.1492
0.4008960914,44.2920
0.3988617071,44.4349
0.3968190728,44.5778
0.3947682309,44.7207
0.3927092237,44.8636
0.3906420938,45.0064
0.3885668841,45.1493
0.3864836373,45.2922
0.3843923966,45.4351
0.3822932053,45.5779
0.3801861068,45.7208
0.3780711446,45.8637
0.3759483626,46.0066
0.3738178045,46.1494
0.3716795145,46.2923
0.3695335369,46.4352
0.3673799159,46.5781
0.3652186961,46.7210
0.3630499223,46.8638
0.3608736393,47.0067
0.3586898921,47.1496
0.3564987259,47.2925
0.3543001859,47.4353
0.3520943178,47.5782
0.3498811670,47.7211
0.3476607795,47.8640
0.3454332010,48.0069
0.3431984777,48.1497
0.3409566558,48.2926
0.3387077816,48.4355
0.3364519018,48.5784
0.3341890629,48.7212
0.3319193117,48.8641
0.3296426952,49.0070
0.3273592605,49.1499
0.3250690548,49.2928
0.3227721255,49.4356
0.3204685201,49.5785
0.3181582862,49.7214
0.3158414716,49.8643
0.3135181243,50.0071
0.3111882923,50.1500
0.3088520237,50.2929
0.3065093670,50.4358
0.3041603705,50.5787
0.3018050829,50.7215
0.2994435529,50.8644
0.2970758292,51.0073
0.2947019609,51.1502
0.2923219972,51.2930
0.2899359871,51.4359
0.2875439801,51.5788
0.2851460256,51.7217
