voltage[V],time[ns]
0.5049,0.0000
0.5592,1.0000
0.5913,2.0000
0.5997,3.0000
0.5843,4.0000
0.5456,5.0000
0.4851,6.0000
0.4053,7.0000
0.3093,8.0000
0.2010,9.0000
0.0847,10.0000
-0.0350,11.0000
-0.1533,12.0000
-0.2655,13.0000
-0.3671,14.0000
-0.4541,15.0000
-0.5229,16.0000
-0.5710,17.0000
-0.5962,18.0000
-0.5977,19.0000
-0.5754,20.0000
-0.5301,21.0000
-0.4637,22.0000
-0.3788,23.0000
-0.2788,24.0000
-0.1676,25.0000
-0.0499,26.0000
0.0699,27.0000
0.1869,28.0000
0.2965,29.0000
0.3942,30.0000
0.4762,31.0000
0.5392,32.0000
0.5808,33.0000
0.5991,34.0000
0.5936,35.0000
0.5644,36.0000
0.5128,37.0000
0.4406,38.0000
0.3510,39.0000
0.2473,40.0000
0.1337,41.0000
0.0149,42.0000
-0.1046,43.0000
-0.2199,44.0000
-0.3264,45.0000
-0.4199,46.0000
-0.4967,47.0000
-0.5537,48.0000
-0.5886,49.0000
-0.6000,50.0000
