,Канал: 0,Канал: 1
0,0.273,-2.393
166,0.352,-2.432
332,0.381,-2.480
498,0.371,-2.490
664,0.361,-2.529
830,0.410,-2.568
996,0.449,-2.607
1162,0.410,-2.627
1328,0.381,-2.686
1494,0.508,-2.734
1660,0.420,-2.803
1826,0.439,-2.861
1992,0.371,-2.900
2158,0.430,-2.920
2324,0.566,-2.920
2490,0.469,-2.891
2656,0.566,-2.842
2822,0.596,-2.676
2988,0.596,-2.549
3154,0.537,-2.441
3320,0.684,-2.314
3486,0.488,-2.207
3652,0.537,-2.080
3818,0.527,-1.963
3984,0.547,-1.826
4150,0.654,-1.689
4316,0.518,-1.543
4482,0.518,-1.387
4648,0.635,-1.201
4814,0.537,-1.016
4980,0.518,-0.811
5146,0.479,-0.635
5312,0.430,-0.498
5478,0.527,-0.313
5644,0.488,-0.137
5810,0.459,0.020
5976,0.518,0.176
6142,0.381,0.322
6308,0.547,0.479
6474,0.410,0.625
6640,0.273,0.762
6806,0.371,0.879
6972,0.264,0.996
7138,0.313,1.113
7304,0.156,1.211
7470,0.107,1.318
7636,0.039,1.396
7802,-0.098,1.504
7968,0.020,1.592
8134,-0.029,1.660
8300,-0.234,1.738
8466,-0.205,1.816
8632,-0.215,1.904
8798,-0.322,1.973
8964,-0.352,2.041
9130,-0.342,2.119
9296,-0.361,2.178
9462,-0.352,2.227
9628,-0.498,2.275
9794,-0.498,2.324
9960,-0.469,2.363
10126,-0.557,2.402
10292,-0.459,2.432
10458,-0.488,2.451
10624,-0.576,2.490
10790,-0.508,2.529
10956,-0.508,2.568
11122,-0.693,2.598
11288,-0.605,2.666
11454,-0.713,2.725
11620,-0.791,2.773
11786,-0.693,2.842
11952,-0.596,2.881
12118,-0.576,2.920
12284,-0.771,2.910
12450,-0.762,2.871
12616,-0.635,2.822
12782,-0.771,2.666
12948,-0.723,2.539
13114,-0.713,2.432
13280,-0.801,2.314
13446,-0.791,2.188
13612,-0.732,2.090
13778,-0.703,1.963
13944,-0.742,1.836
14110,-0.732,1.699
14276,-0.674,1.543
14442,-0.723,1.387
14608,-0.771,1.221
14774,-0.742,1.025
14940,-0.703,0.830
15106,-0.713,0.645
15272,-0.684,0.469
15438,-0.742,0.322
15604,-0.635,0.166
15770,-0.693,-0.010
15936,-0.674,-0.156
16102,-0.693,-0.313
16268,-0.547,-0.479
16434,-0.596,-0.605
16600,-0.527,-0.742
16766,-0.615,-0.879
16932,-0.537,-1.016
17098,-0.439,-1.113
17264,-0.391,-1.221
17430,-0.332,-1.318
17596,-0.303,-1.406
17762,-0.205,-1.494
17928,-0.254,-1.572
18094,-0.039,-1.670
18260,-0.059,-1.748
18426,0.010,-1.826
18592,0.010,-1.914
18758,0.127,-1.973
18924,0.137,-2.051
19090,0.166,-2.119
19256,0.195,-2.168
19422,0.254,-2.227
19588,0.234,-2.275
19754,0.273,-2.334
19920,0.313,-2.373
20086,0.322,-2.412
20252,0.400,-2.432
20418,0.410,-2.480
20584,0.430,-2.520
20750,0.293,-2.549
20916,0.459,-2.578
21082,0.439,-2.607
21248,0.381,-2.666
21414,0.322,-2.725
21580,0.410,-2.783
21746,0.391,-2.861
21912,0.508,-2.920
22078,0.557,-2.939
22244,0.479,-2.939
22410,0.615,-2.920
22576,0.518,-2.871
22742,0.469,-2.773
22908,0.625,-2.617
23074,0.547,-2.500
23240,0.557,-2.383
23406,0.654,-2.275
23572,0.605,-2.148
23738,0.615,-2.021
23904,0.449,-1.895
24070,0.527,-1.768
24236,0.547,-1.621
24402,0.586,-1.455
24568,0.391,-1.289
24734,0.566,-1.104
24900,0.605,-0.908
25066,0.615,-0.723
25232,0.547,-0.537
25398,0.654,-0.391
25564,0.400,-0.244
25730,0.488,-0.059
25896,0.527,0.098
26062,0.518,0.254
26228,0.459,0.410
26394,0.498,0.557
26560,0.459,0.674
26726,0.469,0.820
26892,0.361,0.928
27058,0.293,1.055
27224,0.293,1.162
27390,0.010,1.270
27556,0.068,1.357
27722,-0.039,1.455
27888,-0.068,1.553
28054,-0.098,1.641
28220,-0.107,1.719
28386,-0.215,1.777
28552,-0.254,1.865
28718,-0.244,1.943
28884,-0.234,2.012
29050,-0.352,2.090
29216,-0.410,2.139
29382,-0.391,2.197
29548,-0.479,2.256
29714,-0.391,2.295
29880,-0.400,2.354
30046,-0.518,2.383
30212,-0.488,2.412
30378,-0.566,2.441
30544,-0.576,2.461
30710,-0.635,2.520
30876,-0.527,2.549
31042,-0.615,2.578
31208,-0.654,2.646
31375,-0.508,2.695
31541,-0.723,2.783
31707,-0.674,2.852
31873,-0.605,2.881
32039,-0.723,2.939
32205,-0.703,2.959
32371,-0.762,2.910
32537,-0.693,2.871
32703,-0.752,2.754
32869,-0.869,2.598
33035,-0.664,2.500
33201,-0.752,2.373
33367,-0.820,2.266
33533,-0.771,2.139
33699,-0.693,2.021
33865,-0.742,1.885
34031,-0.674,1.768
34197,-0.684,1.621
34363,-0.713,1.465
34529,-0.635,1.299
34695,-0.684,1.123
34861,-0.791,0.938
35027,-0.811,0.732
35193,-0.713,0.557
35359,-0.645,0.391
35525,-0.713,0.225
35691,-0.654,0.078
35857,-0.625,-0.088
36023,-0.723,-0.234
36189,-0.684,-0.400
36355,-0.605,-0.557
36521,-0.645,-0.684
36687,-0.537,-0.811
36853,-0.547,-0.957
37019,-0.488,-1.084
37185,-0.400,-1.172
37351,-0.342,-1.279
37517,-0.352,-1.367
37683,-0.283,-1.445
37849,-0.098,-1.553
38015,-0.146,-1.631
38181,0.010,-1.699
38347,0.010,-1.787
38513,-0.010,-1.865
38679,0.098,-1.934
38845,0.234,-2.031
39011,0.195,-2.100
39177,0.088,-2.168
39343,0.137,-2.217
39509,0.186,-2.275
39675,0.176,-2.314
39841,0.361,-2.354
40007,0.283,-2.402
40173,0.361,-2.432
40339,0.342,-2.471
40505,0.371,-2.490
40671,0.332,-2.539
40837,0.430,-2.568
41003,0.469,-2.607
41169,0.449,-2.637
41335,0.430,-2.695
41501,0.449,-2.783
41667,0.459,-2.852
41833,0.537,-2.910
41999,0.479,-2.959
42165,0.537,-2.969
42331,0.693,-2.949
42497,0.537,-2.920
42663,0.537,-2.852
42829,0.586,-2.676
42995,0.566,-2.549
43161,0.615,-2.451
43327,0.498,-2.324
43493,0.566,-2.207
43659,0.488,-2.090
43825,0.518,-1.953
43991,0.488,-1.816
44157,0.537,-1.699
44323,0.596,-1.543
44489,0.566,-1.367
44655,0.596,-1.201
44821,0.420,-1.006
44987,0.508,-0.820
45153,0.527,-0.635
45319,0.557,-0.469
45485,0.576,-0.293
45651,0.479,-0.146
45817,0.537,0.020
45983,0.459,0.186
46149,0.449,0.332
46315,0.400,0.488
46481,0.420,0.635
46647,0.332,0.781
46813,0.342,0.898
46979,0.303,1.006
47145,0.273,1.104
47311,0.225,1.230
47477,0.117,1.318
47643,0.068,1.416
47809,-0.088,1.494
47975,-0.059,1.592
48141,-0.137,1.689
48307,-0.195,1.748
48473,-0.283,1.826
48639,-0.283,1.904
48805,-0.361,1.982
