,Канал: 0,Канал: 1
0,-0.60546875,0.91796875
250,-0.59570313,0.77148438
500,-0.58593750,0.59570313
750,-0.57617188,0.43945313
1000,-0.58593750,0.29296875
1250,-0.52734375,0.15625000
1500,-0.52734375,0.01953125
1750,-0.52734375,-0.11718750
2000,-0.51757813,-0.24414063
2250,-0.46875000,-0.38085938
2500,-0.44921875,-0.49804688
2750,-0.40039063,-0.61523438
3000,-0.38085938,-0.73242188
3250,-0.36132813,-0.81054688
3500,-0.32226563,-0.87890625
3750,-0.24414063,-0.94726563
4000,-0.19531250,-1.04492188
4250,-0.09765625,-1.09375000
4500,-0.09765625,-1.16210938
4750,-0.03906250,-1.21093750
5000,0.00976563,-1.27929688
5250,0.09765625,-1.31835938
5500,0.11718750,-1.35742188
5750,0.13671875,-1.39648438
6000,0.19531250,-1.41601563
6250,0.25390625,-1.45507813
6500,0.29296875,-1.48437500
6750,0.34179688,-1.52343750
7000,0.37109375,-1.56250000
7250,0.41015625,-1.62109375
7500,0.42968750,-1.66992188
7750,0.46875000,-1.70898438
8000,0.49804688,-1.71875000
8250,0.48828125,-1.66992188
8500,0.54687500,-1.57226563
8750,0.55664063,-1.47460938
9000,0.59570313,-1.37695313
9250,0.53710938,-1.27929688
9500,0.55664063,-1.18164063
9750,0.54687500,-1.07421875
10000,0.51757813,-0.94726563
10250,0.52734375,-0.80078125
10500,0.51757813,-0.63476563
10750,0.50781250,-0.47851563
11000,0.47851563,-0.33203125
11250,0.46875000,-0.17578125
11500,0.45898438,-0.04882813
11750,0.39062500,0.08789063
12000,0.41015625,0.22460938
12250,0.37109375,0.34179688
12500,0.33203125,0.48828125
12750,0.31250000,0.60546875
13000,0.27343750,0.70312500
13250,0.23437500,0.78125000
13500,0.18554688,0.87890625
13750,0.10742188,0.93750000
14000,0.04882813,1.01562500
14250,0.00976563,1.07421875
14500,-0.02929688,1.15234375
14750,-0.10742188,1.20117188
15000,-0.13671875,1.24023438
15250,-0.22460938,1.28906250
15500,-0.24414063,1.33789063
15750,-0.29296875,1.37695313
16000,-0.34179688,1.39648438
16250,-0.39062500,1.42578125
16500,-0.39062500,1.46484375
16750,-0.41015625,1.50390625
17000,-0.47851563,1.52343750
17250,-0.50781250,1.58203125
17500,-0.51757813,1.63085938
17750,-0.53710938,1.68945313
18000,-0.59570313,1.67968750
18250,-0.60546875,1.65039063
18500,-0.59570313,1.51367188
18750,-0.63476563,1.42578125
19000,-0.63476563,1.34765625
19250,-0.64453125,1.24023438
19500,-0.59570313,1.16210938
19750,-0.63476563,1.03515625
20000,-0.59570313,0.92773438
20250,-0.56640625,0.78125000
20500,-0.61523438,0.59570313
20750,-0.58593750,0.43945313
21000,-0.55664063,0.30273438
21250,-0.53710938,0.16601563
21500,-0.51757813,0.01953125
21750,-0.51757813,-0.11718750
22000,-0.50781250,-0.24414063
22250,-0.44921875,-0.37109375
22500,-0.44921875,-0.50781250
22750,-0.41992188,-0.62500000
23000,-0.39062500,-0.73242188
23250,-0.34179688,-0.82031250
23500,-0.29296875,-0.87890625
23750,-0.24414063,-0.95703125
24000,-0.21484375,-1.03515625
24250,-0.14648438,-1.09375000
24500,-0.10742188,-1.16210938
24750,-0.02929688,-1.21093750
25000,0.00976563,-1.26953125
25250,0.06835938,-1.31835938
25500,0.10742188,-1.36718750
25750,0.19531250,-1.38671875
26000,0.21484375,-1.41601563
26250,0.28320313,-1.44531250
26500,0.29296875,-1.49414063
26750,0.31250000,-1.52343750
27000,0.37109375,-1.57226563
27250,0.40039063,-1.61132813
27500,0.45898438,-1.66015625
27750,0.45898438,-1.70898438
28000,0.51757813,-1.70898438
28250,0.52734375,-1.67968750
28500,0.57617188,-1.56250000
28750,0.56640625,-1.47460938
29000,0.58593750,-1.37695313
29250,0.57617188,-1.27929688
29500,0.50781250,-1.18164063
29750,0.54687500,-1.06445313
30000,0.53710938,-0.94726563
30250,0.52734375,-0.80078125
30500,0.51757813,-0.63476563
30750,0.47851563,-0.46875000
31000,0.52734375,-0.33203125
31250,0.45898438,-0.18554688
31500,0.45898438,-0.05859375
31750,0.41015625,0.09765625
32000,0.40039063,0.22460938
32250,0.37109375,0.33203125
32500,0.34179688,0.47851563
32750,0.29296875,0.60546875
33000,0.25390625,0.70312500
33250,0.24414063,0.78125000
33500,0.18554688,0.86914063
33750,0.09765625,0.92773438
