,Канал: 0,Канал: 1
0,-0.166,-1.836
250,-0.059,-1.973
500,-0.029,-2.080
750,-0.010,-2.236
1000,0.137,-2.363
1250,0.195,-2.461
1500,0.146,-2.549
1750,0.234,-2.617
2000,0.283,-2.686
2250,0.283,-2.754
2500,0.293,-2.822
2750,0.381,-2.881
3000,0.449,-2.949
3250,0.420,-3.037
3500,0.391,-3.174
3750,0.430,-3.281
4000,0.566,-3.340
4250,0.547,-3.311
4500,0.557,-3.252
4750,0.576,-3.027
5000,0.537,-2.822
5250,0.518,-2.627
5500,0.557,-2.422
5750,0.557,-2.207
6000,0.527,-1.992
6250,0.635,-1.729
6500,0.547,-1.455
6750,0.557,-1.123
7000,0.449,-0.811
7250,0.537,-0.527
7500,0.566,-0.264
7750,0.498,0.010
8000,0.508,0.273
8250,0.391,0.527
8500,0.459,0.762
8750,0.410,0.967
9000,0.371,1.152
9250,0.186,1.348
9500,0.195,1.514
9750,-0.010,1.680
10000,-0.049,1.816
10250,-0.166,1.943
10500,-0.225,2.090
10750,-0.332,2.207
11000,-0.313,2.344
11250,-0.410,2.441
11500,-0.371,2.520
11750,-0.391,2.598
12000,-0.527,2.666
12250,-0.459,2.715
12500,-0.654,2.803
12750,-0.674,2.852
13000,-0.762,2.939
13250,-0.684,3.037
13500,-0.713,3.164
13750,-0.703,3.262
14000,-0.762,3.311
14250,-0.742,3.291
14500,-0.791,3.203
14750,-0.830,2.969
15000,-0.947,2.783
15250,-0.928,2.588
15500,-0.869,2.402
15750,-0.850,2.188
16000,-0.918,1.953
16250,-0.742,1.709
16500,-0.693,1.406
16750,-0.801,1.084
17000,-0.869,0.771
17250,-0.811,0.498
17500,-0.752,0.234
17750,-0.762,-0.039
18000,-0.869,-0.293
18250,-0.801,-0.547
18500,-0.752,-0.781
18750,-0.703,-0.996
19000,-0.732,-1.201
19250,-0.566,-1.377
19500,-0.439,-1.533
19750,-0.244,-1.699
20000,-0.283,-1.836
20250,0.000,-1.963
20500,-0.107,-2.100
20750,0.068,-2.217
21000,0.078,-2.354
21250,0.215,-2.461
21500,0.303,-2.539
21750,0.186,-2.617
22000,0.283,-2.686
22250,0.391,-2.754
22500,0.371,-2.803
22750,0.254,-2.881
23000,0.361,-2.969
23250,0.459,-3.066
23500,0.518,-3.193
23750,0.439,-3.320
24000,0.469,-3.359
24250,0.508,-3.340
24500,0.547,-3.262
24750,0.576,-3.037
25000,0.557,-2.832
25250,0.537,-2.637
25500,0.605,-2.422
25750,0.576,-2.217
26000,0.498,-1.992
26250,0.684,-1.729
26500,0.605,-1.436
26750,0.693,-1.123
27000,0.566,-0.811
27250,0.498,-0.527
27500,0.527,-0.264
27750,0.527,0.020
28000,0.479,0.283
28250,0.479,0.527
28500,0.449,0.762
28750,0.420,0.977
29000,0.332,1.162
29250,0.254,1.348
29500,0.039,1.514
29750,-0.068,1.680
30000,-0.117,1.826
30250,-0.254,1.943
30500,-0.283,2.090
30750,-0.342,2.197
31000,-0.332,2.344
31250,-0.381,2.441
31500,-0.420,2.529
31750,-0.557,2.607
32000,-0.566,2.676
32250,-0.547,2.734
32500,-0.684,2.793
32750,-0.596,2.861
33000,-0.693,2.949
33250,-0.674,3.066
33500,-0.713,3.193
33750,-0.732,3.301
34000,-0.771,3.340
34250,-0.801,3.311
34500,-0.811,3.213
34750,-0.869,2.979
35000,-0.918,2.783
35250,-0.752,2.578
35500,-0.791,2.393
35750,-0.957,2.197
36000,-0.713,1.943
36250,-0.811,1.689
36500,-0.771,1.416
36750,-0.830,1.094
37000,-0.850,0.781
37250,-0.762,0.498
37500,-0.811,0.234
37750,-0.811,-0.020
38000,-0.732,-0.293
38250,-0.635,-0.537
38500,-0.781,-0.791
38750,-0.674,-1.016
39000,-0.615,-1.211
39250,-0.615,-1.377
39500,-0.420,-1.533
39750,-0.303,-1.699
40000,-0.137,-1.836
40250,-0.137,-1.963
40500,-0.098,-2.100
40750,0.146,-2.217
41000,0.146,-2.363
41250,0.137,-2.471
41500,0.215,-2.539
41750,0.273,-2.637
42000,0.322,-2.705
42250,0.225,-2.764
42500,0.410,-2.822
42750,0.332,-2.891
43000,0.498,-2.969
43250,0.537,-3.076
43500,0.410,-3.213
43750,0.508,-3.330
44000,0.449,-3.369
44250,0.586,-3.359
44500,0.518,-3.281
44750,0.586,-3.027
45000,0.596,-2.842
45250,0.713,-2.637
45500,0.625,-2.432
45750,0.645,-2.217
46000,0.615,-2.002
46250,0.596,-1.738
46500,0.605,-1.445
46750,0.654,-1.123
47000,0.557,-0.801
47250,0.557,-0.518
47500,0.488,-0.264
47750,0.498,0.010
48000,0.479,0.264
48250,0.479,0.537
48500,0.488,0.752
48750,0.469,0.977
49000,0.430,1.172
49250,0.264,1.348
49500,0.176,1.514
49750,-0.078,1.670
50000,-0.156,1.807
50250,-0.166,1.943
50500,-0.303,2.080
50750,-0.371,2.207
51000,-0.293,2.344
51250,-0.400,2.441
51500,-0.459,2.539
51750,-0.537,2.607
52000,-0.557,2.666
52250,-0.547,2.744
52500,-0.615,2.803
52750,-0.605,2.852
53000,-0.674,2.939
53250,-0.703,3.066
53500,-0.635,3.193
53750,-0.781,3.291
54000,-0.791,3.330
54250,-0.859,3.311
54500,-0.781,3.213
54750,-0.859,2.969
55000,-0.820,2.783
55250,-0.889,2.598
55500,-0.879,2.383
55750,-0.879,2.178
56000,-0.869,1.963
56250,-0.918,1.689
56500,-0.811,1.396
56750,-0.703,1.074
57000,-0.840,0.762
57250,-0.723,0.488
57500,-0.703,0.225
57750,-0.830,-0.029
58000,-0.820,-0.293
58250,-0.781,-0.547
58500,-0.771,-0.781
58750,-0.654,-0.996
