,Канал: 0,Канал: 1
0,-0.723,2.490
111,-0.713,2.412
222,-0.693,2.334
333,-0.791,2.246
444,-0.801,2.188
555,-0.752,2.100
666,-0.791,1.992
777,-0.684,1.924
888,-0.693,1.826
999,-0.664,1.738
1110,-0.771,1.621
1221,-0.664,1.523
1332,-0.771,1.396
1443,-0.879,1.279
1554,-0.732,1.152
1665,-0.674,1.025
1776,-0.723,0.889
1887,-0.693,0.762
1998,-0.664,0.625
2109,-0.742,0.527
2220,-0.703,0.410
2331,-0.703,0.313
2442,-0.703,0.195
2553,-0.693,0.078
2664,-0.684,-0.020
2775,-0.586,-0.127
2886,-0.645,-0.244
2997,-0.654,-0.342
3108,-0.615,-0.439
3219,-0.615,-0.547
3330,-0.605,-0.645
3441,-0.566,-0.732
3552,-0.459,-0.840
3663,-0.488,-0.928
3774,-0.439,-0.996
3885,-0.420,-1.084
3996,-0.400,-1.152
4107,-0.313,-1.230
4218,-0.420,-1.299
4329,-0.361,-1.357
4440,-0.303,-1.426
4551,-0.205,-1.494
4662,-0.215,-1.563
4773,-0.117,-1.631
4884,-0.146,-1.680
4995,0.020,-1.719
5106,0.000,-1.777
5217,-0.078,-1.836
5328,0.000,-1.904
5439,0.117,-1.953
5550,0.010,-2.002
5661,0.137,-2.051
5772,0.107,-2.100
5883,0.156,-2.168
5994,0.195,-2.207
6105,0.146,-2.236
6216,0.176,-2.275
6327,0.225,-2.324
6438,0.215,-2.344
6549,0.166,-2.373
6660,0.225,-2.402
6771,0.342,-2.441
6882,0.254,-2.471
6993,0.273,-2.490
7104,0.439,-2.520
7215,0.273,-2.559
7326,0.410,-2.559
7437,0.420,-2.607
7548,0.303,-2.607
7659,0.332,-2.646
7770,0.352,-2.666
7881,0.352,-2.676
7992,0.459,-2.705
8103,0.439,-2.734
8214,0.459,-2.754
8325,0.459,-2.793
8436,0.508,-2.822
8547,0.488,-2.861
8658,0.547,-2.900
8769,0.527,-2.930
8880,0.498,-2.959
8991,0.547,-2.969
9102,0.547,-2.988
9213,0.566,-2.988
9324,0.498,-2.949
9435,0.615,-2.939
9546,0.645,-2.891
9657,0.557,-2.764
9768,0.576,-2.676
9879,0.586,-2.598
9990,0.654,-2.520
10101,0.557,-2.451
10212,0.576,-2.363
10323,0.674,-2.285
10434,0.625,-2.197
10545,0.537,-2.119
10656,0.635,-2.051
10767,0.586,-1.953
10878,0.488,-1.855
10989,0.576,-1.768
11100,0.625,-1.641
11211,0.479,-1.543
11322,0.615,-1.436
11433,0.547,-1.318
11544,0.469,-1.191
11655,0.615,-1.074
11766,0.469,-0.938
11877,0.518,-0.801
11988,0.625,-0.684
12099,0.625,-0.576
12210,0.547,-0.449
12321,0.459,-0.352
12432,0.449,-0.234
12543,0.498,-0.127
12654,0.488,-0.020
12765,0.498,0.088
12876,0.479,0.186
12987,0.391,0.283
13098,0.449,0.400
13209,0.430,0.498
13320,0.400,0.596
13431,0.459,0.693
13542,0.332,0.781
13653,0.439,0.869
13764,0.342,0.938
13875,0.313,1.035
13986,0.293,1.094
14097,0.293,1.182
14208,0.195,1.240
14319,0.137,1.318
14430,0.029,1.396
14541,0.049,1.436
14652,0.000,1.523
14763,0.000,1.582
14874,-0.029,1.641
14985,-0.098,1.699
15096,-0.107,1.748
15207,-0.137,1.797
15318,-0.176,1.855
15429,-0.156,1.924
15540,-0.244,1.982
15651,-0.371,2.021
15762,-0.381,2.080
15873,-0.332,2.129
15984,-0.313,2.168
16095,-0.293,2.227
16206,-0.410,2.256
16317,-0.352,2.285
16428,-0.391,2.324
16539,-0.420,2.324
16650,-0.439,2.373
16761,-0.410,2.402
16872,-0.459,2.441
16983,-0.439,2.480
17094,-0.430,2.480
17205,-0.498,2.520
17316,-0.576,2.529
17427,-0.596,2.568
17538,-0.557,2.578
17649,-0.615,2.607
17760,-0.596,2.617
17871,-0.557,2.656
17982,-0.537,2.666
18093,-0.732,2.686
18204,-0.625,2.725
18315,-0.645,2.754
18426,-0.703,2.793
18537,-0.703,2.832
18648,-0.576,2.871
18759,-0.693,2.900
18870,-0.664,2.910
18981,-0.674,2.939
19092,-0.732,2.939
19203,-0.703,2.930
19314,-0.732,2.920
19425,-0.684,2.881
19536,-0.684,2.832
19647,-0.811,2.705
19758,-0.664,2.627
19869,-0.742,2.559
19980,-0.742,2.480
20091,-0.664,2.402
20202,-0.752,2.324
20313,-0.771,2.256
20424,-0.693,2.168
20535,-0.645,2.100
20646,-0.713,2.012
20757,-0.752,1.924
20868,-0.684,1.846
20979,-0.732,1.748
21090,-0.684,1.641
21201,-0.693,1.523
21312,-0.625,1.416
21423,-0.674,1.309
21534,-0.586,1.162
21645,-0.654,1.055
21756,-0.723,0.928
21867,-0.684,0.762
21978,-0.742,0.664
22089,-0.791,0.557
22200,-0.615,0.449
22311,-0.801,0.332
22422,-0.605,0.234
22533,-0.586,0.127
22644,-0.693,0.010
22755,-0.566,-0.088
22866,-0.732,-0.205
22977,-0.615,-0.313
23088,-0.693,-0.420
23199,-0.557,-0.508
23310,-0.645,-0.615
23421,-0.547,-0.703
23532,-0.664,-0.791
23643,-0.449,-0.879
23754,-0.469,-0.957
23865,-0.400,-1.045
23976,-0.469,-1.123
24087,-0.420,-1.201
24198,-0.400,-1.270
24309,-0.420,-1.328
24420,-0.254,-1.396
24531,-0.342,-1.465
24642,-0.195,-1.523
24753,-0.146,-1.592
24864,-0.156,-1.650
24975,-0.127,-1.699
25086,-0.078,-1.748
25197,0.000,-1.816
25308,-0.059,-1.865
25419,-0.029,-1.934
25530,0.068,-1.973
25641,0.039,-2.031
25752,0.078,-2.080
25863,0.088,-2.139
25974,0.117,-2.178
26085,0.195,-2.217
26196,0.166,-2.256
26307,0.107,-2.295
26418,0.146,-2.324
26529,0.244,-2.354
26640,0.264,-2.373
26751,0.322,-2.402
26862,0.254,-2.451
26973,0.283,-2.461
27084,0.234,-2.510
27195,0.283,-2.539
27306,0.342,-2.559
27417,0.410,-2.568
27528,0.332,-2.588
27639,0.498,-2.627
27750,0.303,-2.666
27861,0.420,-2.646
27972,0.410,-2.686
28083,0.547,-2.715
28194,0.479,-2.744
28305,0.459,-2.773
28416,0.488,-2.813
28527,0.527,-2.861
28638,0.420,-2.900
28749,0.459,-2.930
28860,0.430,-2.979
28971,0.488,-2.988
29082,0.576,-2.988
29193,0.508,-2.988
29304,0.576,-2.979
29415,0.508,-2.949
29526,0.605,-2.900
29637,0.498,-2.832
29748,0.557,-2.715
29859,0.576,-2.637
29970,0.664,-2.559
30081,0.605,-2.480
30192,0.635,-2.402
30303,0.518,-2.324
30414,0.596,-2.236
30525,0.645,-2.158
30636,0.459,-2.070
30747,0.537,-1.982
30858,0.664,-1.895
30969,0.576,-1.797
31080,0.557,-1.699
31191,0.566,-1.592
31302,0.498,-1.484
31413,0.566,-1.357
31524,0.547,-1.240
31635,0.537,-1.104
31746,0.537,-0.977
31857,0.547,-0.850
31968,0.518,-0.723
32079,0.498,-0.605
32190,0.557,-0.518
32301,0.508,-0.391
32412,0.596,-0.264
32523,0.479,-0.176
32634,0.508,-0.068
32745,0.410,0.049
32856,0.391,0.166
32967,0.439,0.273
33078,0.488,0.371
33189,0.508,0.488
33300,0.400,0.586
33411,0.371,0.654
33522,0.342,0.762
33633,0.283,0.850
33744,0.352,0.918
33855,0.195,0.996
33966,0.332,1.084
34077,0.264,1.172
34188,0.107,1.230
34299,0.176,1.309
34410,0.088,1.367
34521,0.107,1.436
34632,0.078,1.514
34743,-0.020,1.582
34854,0.020,1.631
34965,-0.117,1.670
35076,-0.010,1.729
35187,-0.205,1.797
35298,-0.205,1.846
35409,-0.234,1.895
35520,-0.205,1.953
35631,-0.313,2.012
35742,-0.342,2.061
35853,-0.352,2.119
35964,-0.439,2.158
36075,-0.410,2.197
36186,-0.371,2.246
36297,-0.332,2.266
36408,-0.420,2.295
36519,-0.410,2.324
36630,-0.449,2.363
36741,-0.420,2.393
36852,-0.459,2.412
36963,-0.596,2.451
37074,-0.566,2.471
37185,-0.605,2.500
37296,-0.664,2.520
37407,-0.557,2.539
37518,-0.547,2.549
37629,-0.586,2.588
37740,-0.576,2.598
37851,-0.547,2.627
37962,-0.693,2.676
38073,-0.654,2.695
38184,-0.488,2.744
38295,-0.625,2.793
38406,-0.693,2.842
38517,-0.547,2.881
38628,-0.732,2.910
38739,-0.674,2.959
38850,-0.850,2.988
38961,-0.654,2.998
39072,-0.713,3.008
39183,-0.703,2.988
39294,-0.732,2.969
39405,-0.791,2.930
39516,-0.742,2.881
39627,-0.781,2.773
39738,-0.752,2.666
39849,-0.752,2.598
39960,-0.742,2.529
40071,-0.732,2.451
40182,-0.732,2.383
40293,-0.664,2.295
40404,-0.752,2.207
40515,-0.820,2.139
40626,-0.752,2.051
40737,-0.742,1.973
40848,-0.820,1.875
40959,-0.762,1.787
41070,-0.713,1.670
41181,-0.664,1.582
41292,-0.713,1.465
41403,-0.674,1.318
41514,-0.781,1.211
41625,-0.811,1.094
41736,-0.605,0.947
41847,-0.693,0.820
41958,-0.762,0.713
42069,-0.684,0.586
42180,-0.635,0.469
42291,-0.654,0.361
42402,-0.645,0.254
42513,-0.625,0.146
42624,-0.762,0.029
42735,-0.684,-0.059
42846,-0.625,-0.176
