,Канал: 0,Канал: 1
0,0.430,0.566
142,0.410,0.693
284,0.342,0.811
426,0.293,0.918
568,0.361,1.006
710,0.293,1.113
852,0.293,1.201
994,0.166,1.279
1136,0.127,1.377
1278,-0.029,1.436
1420,-0.039,1.523
1562,-0.029,1.611
1704,-0.078,1.689
1846,-0.137,1.738
1988,-0.156,1.816
2130,-0.215,1.875
2272,-0.234,1.934
2414,-0.332,1.982
2556,-0.234,2.051
2698,-0.313,2.129
2840,-0.313,2.197
2982,-0.332,2.246
3124,-0.459,2.275
3266,-0.557,2.305
3408,-0.361,2.354
3550,-0.439,2.383
3692,-0.547,2.422
3834,-0.537,2.451
3976,-0.479,2.480
4118,-0.605,2.500
4260,-0.576,2.529
4402,-0.654,2.578
4544,-0.469,2.598
4686,-0.605,2.646
4828,-0.615,2.705
4970,-0.527,2.764
5112,-0.664,2.813
5254,-0.625,2.871
5396,-0.742,2.939
5538,-0.703,2.979
5680,-0.605,2.998
5822,-0.781,2.979
5964,-0.723,2.959
6106,-0.732,2.910
6248,-0.645,2.842
6390,-0.684,2.686
6532,-0.791,2.598
6674,-0.742,2.490
6816,-0.781,2.402
6958,-0.742,2.285
7100,-0.771,2.188
7242,-0.801,2.080
7384,-0.762,1.992
7526,-0.693,1.865
7668,-0.703,1.748
7810,-0.732,1.631
7952,-0.801,1.494
8094,-0.664,1.348
8236,-0.713,1.182
8378,-0.684,1.025
8520,-0.791,0.850
8662,-0.771,0.693
8804,-0.801,0.537
8946,-0.762,0.410
9088,-0.791,0.264
9230,-0.742,0.127
9372,-0.674,0.010
9514,-0.664,-0.117
9656,-0.723,-0.264
9798,-0.635,-0.400
9940,-0.664,-0.527
10082,-0.586,-0.654
10224,-0.566,-0.771
10366,-0.547,-0.889
10508,-0.566,-0.996
10650,-0.557,-1.084
10792,-0.459,-1.191
10934,-0.313,-1.279
11076,-0.430,-1.357
11218,-0.342,-1.426
11360,-0.176,-1.504
11502,-0.127,-1.592
11644,-0.078,-1.650
11786,-0.039,-1.738
11928,-0.098,-1.797
12070,0.000,-1.846
12212,-0.039,-1.934
12354,0.098,-1.992
12496,0.117,-2.051
12638,0.117,-2.119
12780,0.186,-2.178
12922,0.156,-2.236
13064,0.205,-2.285
13206,0.293,-2.324
13348,0.254,-2.354
13490,0.283,-2.393
13632,0.322,-2.432
13774,0.283,-2.451
13917,0.283,-2.510
14059,0.381,-2.529
14201,0.371,-2.549
14343,0.352,-2.588
14485,0.342,-2.617
14627,0.352,-2.646
14769,0.410,-2.686
14911,0.391,-2.734
15053,0.410,-2.793
15195,0.498,-2.852
15337,0.527,-2.920
15479,0.576,-2.959
15621,0.459,-2.998
15763,0.527,-3.018
15905,0.518,-2.998
16047,0.557,-2.959
16189,0.576,-2.930
16331,0.518,-2.813
16473,0.576,-2.676
16615,0.615,-2.568
16757,0.508,-2.490
16899,0.527,-2.373
17041,0.684,-2.266
17183,0.596,-2.178
17325,0.605,-2.070
17467,0.498,-1.963
17609,0.586,-1.846
17751,0.576,-1.719
17893,0.498,-1.592
18035,0.674,-1.445
18177,0.508,-1.299
18319,0.547,-1.143
18461,0.664,-0.967
18603,0.615,-0.811
18745,0.547,-0.645
18887,0.508,-0.498
19029,0.557,-0.371
19171,0.400,-0.234
19313,0.488,-0.088
19455,0.488,0.049
19597,0.498,0.186
19739,0.557,0.313
19881,0.410,0.449
20023,0.479,0.586
20165,0.547,0.693
20307,0.400,0.811
20449,0.264,0.928
20591,0.381,1.006
20733,0.283,1.123
20875,0.273,1.201
21017,0.283,1.299
21159,0.039,1.377
21301,0.000,1.465
21443,0.039,1.523
21585,-0.127,1.602
21727,-0.049,1.680
21869,-0.068,1.729
22011,-0.137,1.807
22153,-0.186,1.855
22295,-0.264,1.943
22437,-0.234,2.021
22579,-0.293,2.070
22721,-0.283,2.139
22863,-0.420,2.197
23005,-0.400,2.227
23147,-0.322,2.275
23289,-0.498,2.305
23431,-0.439,2.354
23573,-0.430,2.402
23715,-0.469,2.422
23857,-0.596,2.441
23999,-0.508,2.461
24141,-0.566,2.490
24283,-0.518,2.529
24425,-0.566,2.568
24567,-0.615,2.598
24709,-0.547,2.627
24851,-0.586,2.666
24993,-0.586,2.734
25135,-0.547,2.813
25277,-0.713,2.861
25419,-0.557,2.900
25561,-0.684,2.949
25703,-0.713,2.979
25845,-0.703,2.969
25987,-0.820,2.939
26129,-0.762,2.900
26271,-0.703,2.832
26413,-0.732,2.676
26555,-0.654,2.588
26697,-0.723,2.480
26839,-0.771,2.383
26981,-0.801,2.285
27123,-0.723,2.178
27265,-0.762,2.080
27407,-0.703,1.973
27549,-0.820,1.846
27691,-0.781,1.729
27833,-0.664,1.611
27975,-0.791,1.475
28117,-0.674,1.338
28259,-0.703,1.182
28401,-0.771,1.006
28543,-0.742,0.850
28685,-0.811,0.684
28827,-0.645,0.547
28969,-0.693,0.400
29111,-0.596,0.264
29253,-0.596,0.137
29395,-0.635,0.000
29537,-0.693,-0.146
29679,-0.645,-0.273
29821,-0.635,-0.410
29963,-0.635,-0.527
30105,-0.615,-0.654
30247,-0.576,-0.771
30389,-0.508,-0.889
30531,-0.576,-0.986
30673,-0.459,-1.094
30815,-0.332,-1.201
30957,-0.322,-1.279
31099,-0.195,-1.357
31241,-0.361,-1.436
31383,-0.117,-1.523
31525,-0.166,-1.592
31667,-0.049,-1.660
31809,-0.039,-1.738
31951,-0.020,-1.797
32093,0.020,-1.855
32235,0.029,-1.914
32377,0.020,-1.992
32519,0.146,-2.061
32661,0.137,-2.129
32803,0.127,-2.178
32945,0.156,-2.236
33087,0.215,-2.275
33229,0.205,-2.305
33371,0.254,-2.354
33513,0.332,-2.393
33655,0.371,-2.432
33797,0.352,-2.451
33939,0.303,-2.490
34081,0.303,-2.520
34223,0.439,-2.539
34365,0.410,-2.568
34507,0.352,-2.607
34649,0.361,-2.637
34791,0.488,-2.666
34933,0.439,-2.715
35075,0.342,-2.764
35217,0.498,-2.832
35359,0.537,-2.891
35501,0.488,-2.939
35643,0.605,-2.969
35785,0.537,-2.998
35927,0.537,-2.998
36069,0.527,-2.959
36211,0.693,-2.910
36353,0.654,-2.822
36495,0.557,-2.695
36637,0.566,-2.578
36779,0.576,-2.490
36921,0.586,-2.373
37063,0.508,-2.266
37205,0.605,-2.168
37347,0.547,-2.070
37489,0.615,-1.943
37631,0.586,-1.846
37773,0.566,-1.709
37915,0.596,-1.582
